Year,Variable, Klamath , Siletz , Umatilla , Warm Springs , Colville , Neah bay , Spokane , Tulalip , Yakima ,Cushman-Taholah
1914,allotted_under_lease|total_acreage,16502,3420,52400,0,10690,0,2554,411,49347,145
1914,allotted_under_lease|total_income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1914,under_lease|total_acreage,17091,3420,52800,186800,185690,0,2554,411,49347,145
1914,total_income_under_lease,4770,3030,116659,1518,11349,0,3437,1670,99616,1000
1915,allotted_acreage_under_lease|farming,598,NA,44542,NA,11120,NA,3842,1514,42300,160
1915,allotted_income_under_lease|farming,1796,709,37847,NA,7914,NA,1662,2766,109094,1095
1915,unallotted_acreage_under_lease|farming,NA,655,950,NA,NA,NA,NA,NA,NA,NA
1915,unallotted_income_under_lease|farming,NA,NA,1265,NA,NA,NA,NA,NA,NA,NA
1915,total_income_under_lease|farming,1796,655,39112,NA,7914,NA,1662,2766,109094,1095
1915,allotted_acreage_under_lease|grazing,16502,1709,NA,NA,1650,NA,NA,7000,NA,NA
1915,allotted_income_under_lease|grazing,4126,1050,NA,NA,801,NA,NA,10000,NA,NA
1915,unallotted_acreage_under_lease|grazing,NA,NA,NA,187240,180000,NA,NA,NA,NA,NA
1915,unallotted_income_under_lease|grazing,NA,NA,NA,1350,8440,NA,260,NA,NA,NA
1915,total_income_under_lease|grazing,4126,1050,NA,1350,9241,NA,260,10000,NA,NA
1915,unallotted_under_lease|total_acreage,0,655,950,187240,180000,0,0,0,0,0
1915,unallotted_under_lease|total_income,0,0,1265,1350,8440,0,260,0,0,0
1915,allotted_under_lease|total_acreage,17100,1709,44542,0,12770,0,3842,8514,42300,160
1915,allotted_under_lease|total_income,5922,1759,37847,0,8715,0,1662,12766,109094,1095
1915,under_lease|total_acreage,17100,2364,45492,187240,192770,0,3842,8514,42300,160
1915,total_income_under_lease,5922,1759,39112,1350,17155,0,1922,12766,109094,1095
1916,allotted_acreage_under_lease|farming,8550,2439,44083,NA,14600,NA,3406,1669,51960,170
1916,allotted_income_under_lease|farming,7877.5,2000,105874,NA,8250,NA,4117,3660,177448,1025
1916,unallotted_acreage_under_lease|farming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1916,unallotted_income_under_lease|farming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1916,total_income_under_lease|farming,7877.5,2000,105874,NA,8250,NA,4117,3660,177448,1025
1916,allotted_acreage_under_lease|grazing,8550,2439,190,NA,7680,NA,470,NA,8440,NA
1916,allotted_income_under_lease|grazing,7877.5,2000,NR,NA,1420,NA,29,NA,11500,NA
1916,unallotted_acreage_under_lease|grazing,192000,NA,NA,NA,180000,NA,20000,NA,418778,NA
1916,unallotted_income_under_lease|grazing,2908,NA,NA,NA,7656,NA,68,NA,17883,NA
1916,total_income_under_lease|grazing,10785.5,2000,NR,NA,9076,NA,97,NA,29383,NA
1916,unallotted_under_lease|total_acreage,192000,NA,NA,NA,180000,NA,20000,NA,418778,NA
1916,unallotted_under_lease|total_income,2908,NA,NA,NA,7656,NA,68,NA,17883,NA
1916,allotted_under_lease|total_acreage,17100,4878,44273,NA,22280,NA,3876,1669,60400,170
1916,allotted_under_lease|total_income,15755,4000,105874,NA,9670,NA,4146,3660,188948,1025
1916,under_lease|total_acreage,209100,4878,44273,NA,202280,NA,23876,1669,479178,170
1916,total_income_under_lease,18663,4000,105874,NA,17326,NA,4214,3660,206831,1025
1917,allotted_acreage_under_lease|farming,1873,1548,47230,NA,18280,NA,3288,1669,60000,185
1917,allotted_income_under_lease|farming,960,2310,109188,NA,15100,NA,1800,4101,115000,1190
1917,unallotted_acreage_under_lease|farming,NA,NA,982,NA,NA,NA,NA,NA,NA,NA
1917,unallotted_income_under_lease|farming,NA,NA,857,NA,NA,NA,NA,NA,NA,NA
1917,total_income_under_lease|farming,960,2310,110045,NA,15100,NA,1800,4101,115000,1190
1917,allotted_acreage_under_lease|grazing,51387,1000,258,NA,7680,NA,700,NA,9500,NA
1917,allotted_income_under_lease|grazing,15957,150,122,NA,1560,NA,30,NA,12650,NA
1917,unallotted_acreage_under_lease|grazing,200320,NA,NA,187240,150000,NA,20000,NA,429854,NA
1917,unallotted_income_under_lease|grazing,7308,NA,NA,1350,9198,NA,400,NA,42985,NA
1917,total_income_under_lease|grazing,23265,150,122,1350,10758,NA,430,NA,55635,NA
1917,total_mining_acreage,NA,NA,NA,NA,NA,NA,1380,NA,NA,NA
1917,total_mining_income,NA,NA,NA,NA,NA,NA,570,NA,NA,NA
1917,unallotted_under_lease|total_acreage,200320,NA,982,187240,150000,NA,20000,NA,429854,NA
1917,unallotted_under_lease|total_income,7308,NA,857,1350,9198,NA,400,NA,42985,NA
1917,allotted_under_lease|total_acreage,53260,2548,47488,NA,25960,NA,3988,1669,69500,185
1917,allotted_under_lease|total_income,16917,2460,109310,NA,16660,NA,1830,4101,127650,1190
1917,under_lease|total_acreage,253580,2548,48470,187240,175960,NA,25368,1669,499354,185
1917,total_income_under_lease,24225,2460,110167,1350,25858,NA,2800,4101,170635,1190
1918,allotted_acreage_under_lease|farming,1873,1840,41787,NA,23540,NA,3500,1670,65000,205
1918,allotted_income_under_lease|farming,960,2240,124426,NA,28665,NA,3797,4278,250000,1375
1918,unallotted_acreage_under_lease|farming,NA,NA,880,NA,NA,NA,NA,NA,NA,NA
1918,unallotted_income_under_lease|farming,NA,NA,1339,NA,NA,NA,NA,NA,NA,NA
1918,total_income_under_lease|farming,960,2240,125765,NA,28665,NA,3797,4278,250000,1375
1918,allotted_acreage_under_lease|grazing,51387,NA,150,NA,NA,NA,700,NA,9500,NA
1918,allotted_income_under_lease|grazing,15957,NA,80,NA,NA,NA,35,NA,20750,NA
1918,unallotted_acreage_under_lease|grazing,200320,NA,NA,187240,195000,NA,20700,NA,429854,NA
1918,unallotted_income_under_lease|grazing,7308,NA,NA,2924,11750,NA,856,NA,42985,NA
1918,total_income_under_lease|grazing,23265,NA,80,2924,11750,NA,891,NA,63735,NA
1918,total_mining_acreage,NA,NA,NA,NA,NA,NA,1380,NA,NA,NA
1918,total_mining_income,NA,NA,NA,NA,NA,NA,570,NA,NA,NA
1918,unallotted_under_lease|total_acreage,200320,NA,880,187240,195000,NA,20700,NA,429854,NA
1918,unallotted_under_lease|total_income,7308,NA,1339,2924,11750,NA,856,NA,42985,NA
1918,allotted_under_lease|total_acreage,53260,1840,41937,NA,23540,NA,4200,1670,74500,205
1918,allotted_under_lease|total_income,16917,2240,124506,NA,28665,NA,3832,4278,270750,1375
1918,under_lease|total_acreage,253580,1840,42817,187240,218540,NA,26280,1670,504354,205
1918,total_income_under_lease,24225,2240,125845,2924,40415,NA,5258,4278,313735,1375
1919,allotted_acreage_under_lease|farming,5655,1710,39199,100,20620,NA,3830,1809,67989,300
1919,allotted_income_under_lease|farming,8141,2650,128173,300,22915,NA,4000,6075,367435,1485
1919,unallotted_acreage_under_lease|farming,NA,NA,40,NA,NA,NA,NA,NA,NA,NA
1919,unallotted_income_under_lease|farming,NA,NA,75,NA,NA,NA,NA,NA,NA,NA
1919,total_income_under_lease|farming,8141,2650,128248,300,22915,NA,4000,6075,367435,1485
1919,allotted_acreage_under_lease|grazing,39533,NA,150,3000,NA,NA,1413,NA,18400,NA
1919,allotted_income_under_lease|grazing,24848,NA,65,450,NA,NA,151,NA,21300,NA
1919,unallotted_acreage_under_lease|grazing,479,NA,NA,187240,195000,NA,20000,NA,429854,NA
1919,unallotted_income_under_lease|grazing,525,NA,NA,3100,11750,NA,2039,NA,42985,NA
1919,total_income_under_lease|grazing,25373,NA,65,3550,11750,NA,2240,NA,64285,NA
1919,total_mining_acreage,NA,NA,NA,NA,NA,NA,1080,NA,NA,NA
1919,total_mining_income,NA,NA,NA,NA,NA,NA,105,NA,NA,NA
1919,unallotted_under_lease|total_acreage,479,NA,40,187240,195000,NA,20000,NA,429854,NA
1919,unallotted_under_lease|total_income,525,NA,75,3100,11750,NA,2039,NA,42985,NA
1919,allotted_under_lease|total_acreage,45188,1710,39349,3100,20620,NA,5243,1809,86389,300
1919,allotted_under_lease|total_income,32989,2650,128238,750,22915,NA,4151,6075,388735,1485
1919,under_lease|total_acreage,45667,1710,39389,190340,215620,NA,26323,1809,516243,300
1919,total_income_under_lease,33514,2650,128313,3850,34665,NA,6295,6075,431720,1485
1920,allotted_acreage_under_lease|farming,5592,483,37693,200,30220,NA,4353,1808,67989,260
1920,allotted_income_under_lease|farming,6179,825,135730,400,66450,NA,2269,6005,367435,1335
1920,unallotted_acreage_under_lease|farming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,unallotted_income_under_lease|farming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,total_income_under_lease|farming,6179,825,135730,400,66450,NA,2269,6005,367435,1335
1920,allotted_acreage_under_lease|grazing,35287,NA,150,6245,2480,NA,1290,NA,18400,40
1920,allotted_income_under_lease|grazing,22319,NA,65,1480,1300,NA,119,NA,21300,60
1920,unallotted_acreage_under_lease|grazing,12,NA,NA,138240,574000,NA,24598,NA,429854,NA
1920,unallotted_income_under_lease|grazing,70,NA,NA,3174,14427,NA,2758,NA,42985,NA
1920,total_income_under_lease|grazing,22389,NA,65,4654,15727,NA,2877,NA,64285,60
1920,total_mining_acreage,NA,NA,NA,NA,NA,NA,NR,NA,NA,NA
1920,total_mining_income,NA,NA,NA,NA,NA,NA,960,NA,NA,NA
1920,unallotted_under_lease|total_acreage,12,NA,NA,138240,574000,NA,24598,NA,429854,NA
1920,unallotted_under_lease|total_income,70,NA,NA,3174,14427,NA,2758,NA,42985,NA
1920,allotted_under_lease|total_acreage,40879,483,37843,6445,32700,NA,5643,1808,86389,300
1920,allotted_under_lease|total_income,28498,825,135795,1880,67750,NA,2388,6005,388735,1395
1920,under_lease|total_acreage,40891,483,37843,144685,606700,NA,30241,1808,516243,300
1920,total_income_under_lease,28568,825,135795,5054,82177,NA,6106,6005,431720,1395
